month,vendor_id,vendor_name,category,total_spend,num_invoices,avg_invoice_amount,payment_terms,on_time_payment_pct
2025-04,VEN-010,Strategic Advisors LLC,Consulting,43503.02,4,10875.76,Due on Receipt,90.1
2025-04,VEN-011,Premier Insurance Group,Insurance Provider,41017.47,1,41017.47,Due on Receipt,89.7
2025-04,VEN-012,Elite Equipment Supply,Equipment Supplier,35461.88,4,8865.47,Net 60,94.1
2025-04,VEN-013,Global Freight Services,Logistics Provider,37580.66,4,9395.16,Net 60,93.0
2025-04,VEN-014,Innovation Labs,Professional Services,15662.87,1,15662.87,Due on Receipt,92.6
2025-04,VEN-015,Metro Facilities Management,Facility Services,21280.38,2,10640.19,Net 45,98.4
2025-05,VEN-001,Precision Components Inc,Component Supplier,230542.6,6,38423.77,Net 60,86.0
2025-05,VEN-002,TechMotion Systems,Component Supplier,243270.6,6,40545.1,Due on Receipt,99.9
2025-05,VEN-003,Industrial Sensors Co,Component Supplier,114304.6,4,28576.15,Due on Receipt,92.6
2025-05,VEN-004,Atlas Logistics,Logistics Provider,58335.77,5,11667.15,Net 30,92.2
2025-05,VEN-005,CloudSoft Solutions,Software Vendor,18927.96,7,2703.99,Net 45,95.0
2025-05,VEN-006,Enterprise Systems Inc,Software Vendor,42234.88,4,10558.72,Net 60,92.7
2025-05,VEN-007,DataGuard Security,Software Vendor,24784.54,5,4956.91,Net 60,95.1
2025-05,VEN-008,BuildRight Construction,Facility Services,26305.94,2,13152.97,Net 45,89.1
2025-05,VEN-009,Bright Marketing Group,Marketing Agency,58294.29,8,7286.79,Net 45,97.0
2025-05,VEN-010,Strategic Advisors LLC,Consulting,53496.29,7,7642.33,Net 45,94.3
2025-05,VEN-011,Premier Insurance Group,Insurance Provider,38278.55,4,9569.64,Net 45,90.8
2025-05,VEN-012,Elite Equipment Supply,Equipment Supplier,40547.67,8,5068.46,Net 45,97.3
2025-05,VEN-013,Global Freight Services,Logistics Provider,30743.94,8,3842.99,Due on Receipt,89.1
2025-05,VEN-014,Innovation Labs,Professional Services,59741.02,8,7467.63,Net 30,95.0
2025-05,VEN-015,Metro Facilities Management,Facility Services,59398.56,3,19799.52,Due on Receipt,96.8
2025-06,VEN-001,Precision Components Inc,Component Supplier,267543.8,8,33442.98,Net 45,97.3
2025-06,VEN-002,TechMotion Systems,Component Supplier,280000.35,5,56000.07,Due on Receipt,88.5
2025-06,VEN-003,Industrial Sensors Co,Component Supplier,104444.14,8,13055.52,Net 45,86.8
2025-06,VEN-004,Atlas Logistics,Logistics Provider,54497.43,7,7785.35,Due on Receipt,87.3
2025-06,VEN-005,CloudSoft Solutions,Software Vendor,44268.91,1,44268.91,Net 30,91.6
2025-06,VEN-006,Enterprise Systems Inc,Software Vendor,49253.41,2,24626.7,Due on Receipt,94.1
2025-06,VEN-007,DataGuard Security,Software Vendor,42493.71,6,7082.28,Due on Receipt,95.5
2025-06,VEN-008,BuildRight Construction,Facility Services,12319.67,3,4106.56,Net 30,90.8
2025-06,VEN-009,Bright Marketing Group,Marketing Agency,28467.29,4,7116.82,Due on Receipt,93.5
2025-06,VEN-010,Strategic Advisors LLC,Consulting,45454.37,6,7575.73,Net 45,88.0
2025-06,VEN-011,Premier Insurance Group,Insurance Provider,27732.74,7,3961.82,Net 30,94.1
2025-06,VEN-012,Elite Equipment Supply,Equipment Supplier,41561.43,2,20780.71,Net 60,93.6
2025-06,VEN-013,Global Freight Services,Logistics Provider,78335.64,8,9791.95,Due on Receipt,88.6
2025-06,VEN-014,Innovation Labs,Professional Services,48409.96,1,48409.96,Net 45,99.5
2025-06,VEN-015,Metro Facilities Management,Facility Services,23720.71,5,4744.14,Net 30,91.6
2025-07,VEN-001,Precision Components Inc,Component Supplier,191615.19,5,38323.04,Net 60,87.9
2025-07,VEN-002,TechMotion Systems,Component Supplier,170608.94,1,170608.94,Net 45,90.1
2025-07,VEN-003,Industrial Sensors Co,Component Supplier,222152.41,8,27769.05,Net 30,98.3
2025-07,VEN-004,Atlas Logistics,Logistics Provider,58002.71,2,29001.35,Net 45,93.3
2025-07,VEN-005,CloudSoft Solutions,Software Vendor,35291.96,8,4411.49,Net 45,97.8
2025-07,VEN-006,Enterprise Systems Inc,Software Vendor,49840.08,8,6230.01,Net 60,87.0
2025-07,VEN-007,DataGuard Security,Software Vendor,42165.83,1,42165.83,Due on Receipt,88.4
2025-07,VEN-008,BuildRight Construction,Facility Services,55705.18,2,27852.59,Due on Receipt,90.1
2025-07,VEN-009,Bright Marketing Group,Marketing Agency,44908.67,6,7484.78,Due on Receipt,86.4
2025-07,VEN-010,Strategic Advisors LLC,Consulting,42296.28,1,42296.28,Net 60,91.9
2025-07,VEN-011,Premier Insurance Group,Insurance Provider,10848.72,6,1808.12,Net 30,97.5
2025-07,VEN-012,Elite Equipment Supply,Equipment Supplier,55401.14,1,55401.14,Due on Receipt,89.8
2025-07,VEN-013,Global Freight Services,Logistics Provider,35548.12,1,35548.12,Net 30,96.0
2025-07,VEN-014,Innovation Labs,Professional Services,39784.04,2,19892.02,Net 30,96.3
2025-07,VEN-015,Metro Facilities Management,Facility Services,28387.78,2,14193.89,Net 60,94.8
2025-08,VEN-001,Precision Components Inc,Component Supplier,157118.22,8,19639.78,Net 60,86.6
2025-08,VEN-002,TechMotion Systems,Component Supplier,235824.41,3,78608.14,Net 45,91.9
2025-08,VEN-003,Industrial Sensors Co,Component Supplier,286281.17,6,47713.53,Net 30,92.7
2025-08,VEN-004,Atlas Logistics,Logistics Provider,64787.9,7,9255.41,Due on Receipt,98.9
2025-08,VEN-005,CloudSoft Solutions,Software Vendor,24859.28,6,4143.21,Due on Receipt,92.5
2025-08,VEN-006,Enterprise Systems Inc,Software Vendor,36813.76,5,7362.75,Due on Receipt,88.7
2025-08,VEN-007,DataGuard Security,Software Vendor,39030.75,1,39030.75,Net 60,94.6
2025-08,VEN-008,BuildRight Construction,Facility Services,40849.9,1,40849.9,Net 45,89.8
2025-08,VEN-009,Bright Marketing Group,Marketing Agency,34878.48,6,5813.08,Net 45,94.2
2025-08,VEN-010,Strategic Advisors LLC,Consulting,39577.71,8,4947.21,Net 45,86.5
2025-08,VEN-011,Premier Insurance Group,Insurance Provider,21952.94,4,5488.24,Due on Receipt,94.5
2025-08,VEN-012,Elite Equipment Supply,Equipment Supplier,11453.32,1,11453.32,Net 30,86.1
2025-08,VEN-013,Global Freight Services,Logistics Provider,55210.83,7,7887.26,Net 30,86.2
2025-08,VEN-014,Innovation Labs,Professional Services,13155.88,2,6577.94,Net 45,88.7
2025-08,VEN-015,Metro Facilities Management,Facility Services,16632.43,3,5544.14,Due on Receipt,99.0
2025-09,VEN-001,Precision Components Inc,Component Supplier,231873.44,3,77291.15,Net 30,93.4
2025-09,VEN-002,TechMotion Systems,Component Supplier,295049.72,6,49174.95,Net 60,93.5
2025-09,VEN-003,Industrial Sensors Co,Component Supplier,175589.02,7,25084.15,Net 30,91.8
2025-09,VEN-004,Atlas Logistics,Logistics Provider,49017.73,7,7002.53,Due on Receipt,85.1
2025-09,VEN-005,CloudSoft Solutions,Software Vendor,20384.26,6,3397.38,Due on Receipt,89.9
2025-09,VEN-006,Enterprise Systems Inc,Software Vendor,42423.7,5,8484.74,Net 45,87.4
2025-09,VEN-007,DataGuard Security,Software Vendor,49715.75,7,7102.25,Net 60,88.6
2025-09,VEN-008,BuildRight Construction,Facility Services,57097.44,3,19032.48,Net 45,94.0
2025-09,VEN-009,Bright Marketing Group,Marketing Agency,19943.83,8,2492.98,Due on Receipt,94.4
2025-09,VEN-010,Strategic Advisors LLC,Consulting,21374.24,6,3562.37,Due on Receipt,92.4
2025-09,VEN-011,Premier Insurance Group,Insurance Provider,54227.02,4,13556.75,Net 60,97.1
2025-09,VEN-012,Elite Equipment Supply,Equipment Supplier,14351.79,8,1793.97,Net 60,87.1
2025-09,VEN-013,Global Freight Services,Logistics Provider,76509.95,3,25503.32,Due on Receipt,86.3
2025-09,VEN-014,Innovation Labs,Professional Services,39445.68,2,19722.84,Net 30,95.3
2025-09,VEN-015,Metro Facilities Management,Facility Services,46113.04,7,6587.58,Net 30,95.4
